"id","team","year","tablename","value"
2404,"Colorado St",2010,"Vs. Teams 26-50 Power Rating","7.4"
2405,"Samford",2010,"Vs. Teams 26-50 Power Rating","6.8"
2406,"James Mad",2010,"Vs. Teams 26-50 Power Rating","4.1"
2407,"Lg Beach St",2010,"Vs. Teams 26-50 Power Rating","3.3"
2408,"Yale",2010,"Vs. Teams 26-50 Power Rating","--"
2409,"Wagner",2010,"Vs. Teams 26-50 Power Rating","--"
2410,"St Peters",2010,"Vs. Teams 26-50 Power Rating","--"
2411,"S Dakota St",2010,"Vs. Teams 26-50 Power Rating","--"
2412,"Colgate",2010,"Vs. Teams 26-50 Power Rating","--"
2413,"Vermont",2010,"Vs. Teams 26-50 Power Rating","--"
2414,"Col Charlestn",2010,"Vs. Teams 26-50 Power Rating","--"
2415,"Boise St",2010,"Vs. Teams 26-50 Power Rating","--"
2416,"Montana St",2010,"Vs. Teams 26-50 Power Rating","-0.6"
2417,"Stetson",2010,"Vs. Teams 26-50 Power Rating","-5.8"
2418,"Oakland",2010,"Vs. Teams 26-50 Power Rating","-6.6"
2419,"Longwood",2010,"Vs. Teams 26-50 Power Rating","-13.4"
2420,"Grambling St",2010,"Vs. Teams 26-50 Power Rating","-20.0"
2421,"Howard",2010,"Vs. Teams 26-50 Power Rating","-22.8"
2422,"BYU",2010,"Vs. Teams 51-100 Power Rating","35.1"
2423,"Duke",2010,"Vs. Teams 51-100 Power Rating","29.4"
2424,"San Diego St",2010,"Vs. Teams 51-100 Power Rating","27.7"
2425,"Kansas",2010,"Vs. Teams 51-100 Power Rating","27.5"
2426,"Baylor",2010,"Vs. Teams 51-100 Power Rating","26.6"
2427,"Texas",2010,"Vs. Teams 51-100 Power Rating","24.9"
2428,"Purdue",2010,"Vs. Teams 51-100 Power Rating","23.9"
2429,"N Carolina",2010,"Vs. Teams 51-100 Power Rating","23.8"
2430,"Wisconsin",2010,"Vs. Teams 51-100 Power Rating","23.7"
2431,"Gonzaga",2010,"Vs. Teams 51-100 Power Rating","23.5"
2432,"Marquette",2010,"Vs. Teams 51-100 Power Rating","23.4"
2433,"Kentucky",2010,"Vs. Teams 51-100 Power Rating","23.4"
2434,"Clemson",2010,"Vs. Teams 51-100 Power Rating","23.1"
2435,"Wash State",2010,"Vs. Teams 51-100 Power Rating","23.0"
2436,"Nevada",2010,"Vs. Teams 51-100 Power Rating","22.5"
2437,"Texas A&M",2010,"Vs. Teams 51-100 Power Rating","21.4"
2438,"New Mexico",2010,"Vs. Teams 51-100 Power Rating","21.1"
2439,"Tennessee",2010,"Vs. Teams 51-100 Power Rating","19.2"
2440,"Illinois",2010,"Vs. Teams 51-100 Power Rating","18.9"
2441,"UAB",2010,"Vs. Teams 51-100 Power Rating","18.8"
2442,"Virginia",2010,"Vs. Teams 51-100 Power Rating","18.6"
2443,"Florida",2010,"Vs. Teams 51-100 Power Rating","18.3"
2444,"Colorado St",2010,"Vs. Teams 51-100 Power Rating","17.8"
2445,"Texas Tech",2010,"Vs. Teams 51-100 Power Rating","17.8"
2446,"St Marys",2010,"Vs. Teams 51-100 Power Rating","17.8"
2447,"Alabama",2010,"Vs. Teams 51-100 Power Rating","17.5"
2448,"Northwestern",2010,"Vs. Teams 51-100 Power Rating","17.5"
2449,"S Carolina",2010,"Vs. Teams 51-100 Power Rating","16.3"
2450,"Montana St",2010,"Vs. Teams 51-100 Power Rating","15.8"
2451,"Colorado",2010,"Vs. Teams 51-100 Power Rating","15.0"
2452,"Houston",2010,"Vs. Teams 51-100 Power Rating","14.4"
2453,"Dayton",2010,"Vs. Teams 51-100 Power Rating","14.3"
2454,"Iowa St",2010,"Vs. Teams 51-100 Power Rating","14.2"
2455,"Nebraska",2010,"Vs. Teams 51-100 Power Rating","14.1"
2456,"Col Charlestn",2010,"Vs. Teams 51-100 Power Rating","13.5"
2457,"Auburn",2010,"Vs. Teams 51-100 Power Rating","12.2"
2458,"Arizona",2010,"Vs. Teams 51-100 Power Rating","12.1"
2459,"Connecticut",2010,"Vs. Teams 51-100 Power Rating","11.8"
2460,"St Peters",2010,"Vs. Teams 51-100 Power Rating","11.1"
2461,"James Mad",2010,"Vs. Teams 51-100 Power Rating","10.8"
2462,"Duquesne",2010,"Vs. Teams 51-100 Power Rating","10.8"
2463,"Oregon",2010,"Vs. Teams 51-100 Power Rating","10.4"
2464,"Oakland",2010,"Vs. Teams 51-100 Power Rating","10.3"
2465,"NC State",2010,"Vs. Teams 51-100 Power Rating","10.2"
2466,"McNeese St",2010,"Vs. Teams 51-100 Power Rating","9.4"
2467,"Boise St",2010,"Vs. Teams 51-100 Power Rating","9.0"
2468,"Colgate",2010,"Vs. Teams 51-100 Power Rating","8.9"
2469,"Creighton",2010,"Vs. Teams 51-100 Power Rating","8.8"
2470,"Samford",2010,"Vs. Teams 51-100 Power Rating","8.1"
2471,"Drake",2010,"Vs. Teams 51-100 Power Rating","8.1"
2472,"Morehead St",2010,"Vs. Teams 51-100 Power Rating","6.1"
2473,"Wagner",2010,"Vs. Teams 51-100 Power Rating","5.6"
2474,"W Kentucky",2010,"Vs. Teams 51-100 Power Rating","4.9"
2475,"Yale",2010,"Vs. Teams 51-100 Power Rating","2.4"
2476,"Longwood",2010,"Vs. Teams 51-100 Power Rating","1.5"
2477,"Akron",2010,"Vs. Teams 51-100 Power Rating","0.9"
2478,"Howard",2010,"Vs. Teams 51-100 Power Rating","--"
2479,"Lg Beach St",2010,"Vs. Teams 51-100 Power Rating","--"
2480,"S Dakota St",2010,"Vs. Teams 51-100 Power Rating","-2.8"
2481,"Stetson",2010,"Vs. Teams 51-100 Power Rating","-4.9"
2482,"Grambling St",2010,"Vs. Teams 51-100 Power Rating","-6.5"
2483,"Vermont",2010,"Vs. Teams 51-100 Power Rating","-7.8"
2484,"Kansas",2011,"Predictive Power Rating","31.6"
2485,"Duke",2011,"Predictive Power Rating","31.1"
2486,"Texas",2011,"Predictive Power Rating","27.9"
2487,"Kentucky",2011,"Predictive Power Rating","26.9"
2488,"BYU",2011,"Predictive Power Rating","26.8"
2489,"Purdue",2011,"Predictive Power Rating","26.5"
2490,"San Diego St",2011,"Predictive Power Rating","25.6"
2491,"N Carolina",2011,"Predictive Power Rating","25.5"
2492,"Wisconsin",2011,"Predictive Power Rating","25.2"
2493,"Florida",2011,"Predictive Power Rating","23.2"
2494,"Connecticut",2011,"Predictive Power Rating","22.8"
2495,"Illinois",2011,"Predictive Power Rating","22.7"
2496,"Arizona",2011,"Predictive Power Rating","22.5"
2497,"Marquette",2011,"Predictive Power Rating","21.4"
2498,"St Marys",2011,"Predictive Power Rating","21.3"
2499,"Gonzaga",2011,"Predictive Power Rating","21.2"
2500,"Clemson",2011,"Predictive Power Rating","20.4"
2501,"Texas A&M",2011,"Predictive Power Rating","20.3"
2502,"Wash State",2011,"Predictive Power Rating","19.6"
2503,"New Mexico",2011,"Predictive Power Rating","19.5"
2504,"Tennessee",2011,"Predictive Power Rating","18.6"
2505,"Colorado",2011,"Predictive Power Rating","18.4"
2506,"Duquesne",2011,"Predictive Power Rating","18.3"
2507,"Nebraska",2011,"Predictive Power Rating","18.3"
2508,"Alabama",2011,"Predictive Power Rating","18.1"
2509,"Oakland",2011,"Predictive Power Rating","17.8"
2510,"Northwestern",2011,"Predictive Power Rating","17.6"
2511,"UAB",2011,"Predictive Power Rating","17.3"
2512,"Baylor",2011,"Predictive Power Rating","16.8"
2513,"Colorado St",2011,"Predictive Power Rating","16.3"
2514,"Iowa St",2011,"Predictive Power Rating","15.9"
2515,"Col Charlestn",2011,"Predictive Power Rating","15.5"
2516,"Boise St",2011,"Predictive Power Rating","14.9"
2517,"Morehead St",2011,"Predictive Power Rating","14.3"
2518,"NC State",2011,"Predictive Power Rating","14.1"
2519,"Oregon",2011,"Predictive Power Rating","13.3"
2520,"Lg Beach St",2011,"Predictive Power Rating","13.0"
2521,"Dayton",2011,"Predictive Power Rating","12.8"
2522,"S Dakota St",2011,"Predictive Power Rating","12.6"
2523,"Virginia",2011,"Predictive Power Rating","12.5"
2524,"James Mad",2011,"Predictive Power Rating","12.2"
2525,"S Carolina",2011,"Predictive Power Rating","11.6"
2526,"Texas Tech",2011,"Predictive Power Rating","11.6"
2527,"Creighton",2011,"Predictive Power Rating","11.4"
2528,"Akron",2011,"Predictive Power Rating","11.2"
2529,"Nevada",2011,"Predictive Power Rating","9.5"
2530,"St Peters",2011,"Predictive Power Rating","8.9"
2531,"Vermont",2011,"Predictive Power Rating","8.8"
2532,"McNeese St",2011,"Predictive Power Rating","7.3"
2533,"Houston",2011,"Predictive Power Rating","7.2"
2534,"Yale",2011,"Predictive Power Rating","6.1"
2535,"W Kentucky",2011,"Predictive Power Rating","6.1"
2536,"Drake",2011,"Predictive Power Rating","5.1"
2537,"Auburn",2011,"Predictive Power Rating","4.8"
2538,"Montana St",2011,"Predictive Power Rating","4.5"
2539,"Wagner",2011,"Predictive Power Rating","2.5"
2540,"Stetson",2011,"Predictive Power Rating","-0.7"
2541,"Samford",2011,"Predictive Power Rating","-1.1"
2542,"Longwood",2011,"Predictive Power Rating","-2.2"
2543,"Colgate",2011,"Predictive Power Rating","-5.5"
2544,"Grambling St",2011,"Predictive Power Rating","-6.6"
2545,"Howard",2011,"Predictive Power Rating","-9.1"
2546,"Connecticut",2011,"Strength of Schedule Power Rating","19.1"
2547,"Purdue",2011,"Strength of Schedule Power Rating","19.1"
2548,"Wisconsin",2011,"Strength of Schedule Power Rating","19.0"
2549,"Illinois",2011,"Strength of Schedule Power Rating","18.9"
2550,"Texas",2011,"Strength of Schedule Power Rating","18.6"
2551,"N Carolina",2011,"Strength of Schedule Power Rating","18.4"
2552,"Kentucky",2011,"Strength of Schedule Power Rating","18.3"
2553,"Duke",2011,"Strength of Schedule Power Rating","18.3"
2554,"Kansas",2011,"Strength of Schedule Power Rating","18.3"
2555,"Marquette",2011,"Strength of Schedule Power Rating","18.1"
2556,"BYU",2011,"Strength of Schedule Power Rating","16.7"
2557,"Florida",2011,"Strength of Schedule Power Rating","16.6"
2558,"San Diego St",2011,"Strength of Schedule Power Rating","16.3"
2559,"Tennessee",2011,"Strength of Schedule Power Rating","16.3"
2560,"Arizona",2011,"Strength of Schedule Power Rating","16.1"
2561,"Northwestern",2011,"Strength of Schedule Power Rating","16.0"
2562,"Colorado",2011,"Strength of Schedule Power Rating","15.8"
2563,"Clemson",2011,"Strength of Schedule Power Rating","15.7"
2564,"Wash State",2011,"Strength of Schedule Power Rating","15.6"
2565,"Texas A&M",2011,"Strength of Schedule Power Rating","15.6"
2566,"NC State",2011,"Strength of Schedule Power Rating","14.6"
2567,"Nebraska",2011,"Strength of Schedule Power Rating","14.6"
2568,"New Mexico",2011,"Strength of Schedule Power Rating","14.6"
2569,"Colorado St",2011,"Strength of Schedule Power Rating","14.2"
2570,"Iowa St",2011,"Strength of Schedule Power Rating","14.0"
2571,"Baylor",2011,"Strength of Schedule Power Rating","13.7"
2572,"Gonzaga",2011,"Strength of Schedule Power Rating","13.6"
2573,"Oregon",2011,"Strength of Schedule Power Rating","13.5"
2574,"Virginia",2011,"Strength of Schedule Power Rating","13.5"
2575,"Texas Tech",2011,"Strength of Schedule Power Rating","13.5"
2576,"Alabama",2011,"Strength of Schedule Power Rating","13.4"
2577,"S Carolina",2011,"Strength of Schedule Power Rating","13.0"
2578,"St Marys",2011,"Strength of Schedule Power Rating","13.0"
2579,"Oakland",2011,"Strength of Schedule Power Rating","12.6"
2580,"UAB",2011,"Strength of Schedule Power Rating","12.5"
2581,"Duquesne",2011,"Strength of Schedule Power Rating","11.3"
2582,"Dayton",2011,"Strength of Schedule Power Rating","11.2"
2583,"Lg Beach St",2011,"Strength of Schedule Power Rating","10.6"
2584,"Boise St",2011,"Strength of Schedule Power Rating","10.4"
2585,"Nevada",2011,"Strength of Schedule Power Rating","10.2"
2586,"Col Charlestn",2011,"Strength of Schedule Power Rating","9.9"
2587,"James Mad",2011,"Strength of Schedule Power Rating","9.5"
2588,"Creighton",2011,"Strength of Schedule Power Rating","9.4"
2589,"Houston",2011,"Strength of Schedule Power Rating","8.7"
2590,"Morehead St",2011,"Strength of Schedule Power Rating","8.5"
2591,"St Peters",2011,"Strength of Schedule Power Rating","8.2"
2592,"Drake",2011,"Strength of Schedule Power Rating","8.2"
2593,"Auburn",2011,"Strength of Schedule Power Rating","7.9"
2594,"Akron",2011,"Strength of Schedule Power Rating","7.7"
2595,"S Dakota St",2011,"Strength of Schedule Power Rating","7.6"
2596,"W Kentucky",2011,"Strength of Schedule Power Rating","6.5"
2597,"Montana St",2011,"Strength of Schedule Power Rating","6.3"
2598,"Yale",2011,"Strength of Schedule Power Rating","5.6"
2599,"Stetson",2011,"Strength of Schedule Power Rating","5.4"
2600,"McNeese St",2011,"Strength of Schedule Power Rating","5.2"
2601,"Wagner",2011,"Strength of Schedule Power Rating","5.0"
2602,"Vermont",2011,"Strength of Schedule Power Rating","4.4"
2603,"Samford",2011,"Strength of Schedule Power Rating","4.2"
2604,"Colgate",2011,"Strength of Schedule Power Rating","2.1"
2605,"Longwood",2011,"Strength of Schedule Power Rating","0.8"
2606,"Howard",2011,"Strength of Schedule Power Rating","0.1"
2607,"Grambling St",2011,"Strength of Schedule Power Rating","-1.4"
2608,"Kansas",2011,"Last 5 Games Power Rating","43.2"
2609,"Duke",2011,"Last 5 Games Power Rating","37.3"
2610,"Arizona",2011,"Last 5 Games Power Rating","34.0"
2611,"St Marys",2011,"Last 5 Games Power Rating","30.8"
2612,"Texas",2011,"Last 5 Games Power Rating","30.0"
2613,"Purdue",2011,"Last 5 Games Power Rating","29.2"
2614,"BYU",2011,"Last 5 Games Power Rating","28.4"
2615,"Kentucky",2011,"Last 5 Games Power Rating","28.2"
2616,"Iowa St",2011,"Last 5 Games Power Rating","27.7"
2617,"Wash State",2011,"Last 5 Games Power Rating","27.6"
2618,"San Diego St",2011,"Last 5 Games Power Rating","27.3"
2619,"Connecticut",2011,"Last 5 Games Power Rating","26.8"
2620,"Wisconsin",2011,"Last 5 Games Power Rating","24.6"
2621,"N Carolina",2011,"Last 5 Games Power Rating","23.7"
2622,"Illinois",2011,"Last 5 Games Power Rating","23.2"
2623,"Tennessee",2011,"Last 5 Games Power Rating","22.4"
2624,"Gonzaga",2011,"Last 5 Games Power Rating","22.0"
2625,"Marquette",2011,"Last 5 Games Power Rating","21.9"
2626,"Duquesne",2011,"Last 5 Games Power Rating","21.8"
2627,"Clemson",2011,"Last 5 Games Power Rating","21.8"
2628,"S Dakota St",2011,"Last 5 Games Power Rating","21.5"
2629,"Florida",2011,"Last 5 Games Power Rating","21.1"
2630,"Texas A&M",2011,"Last 5 Games Power Rating","20.9"
2631,"Baylor",2011,"Last 5 Games Power Rating","20.1"
2632,"Northwestern",2011,"Last 5 Games Power Rating","18.6"
2633,"Oakland",2011,"Last 5 Games Power Rating","18.5"
2634,"NC State",2011,"Last 5 Games Power Rating","17.7"
2635,"Morehead St",2011,"Last 5 Games Power Rating","17.7"
2636,"Boise St",2011,"Last 5 Games Power Rating","17.7"
2637,"UAB",2011,"Last 5 Games Power Rating","17.4"
2638,"Col Charlestn",2011,"Last 5 Games Power Rating","16.7"
2639,"Nebraska",2011,"Last 5 Games Power Rating","16.0"
2640,"New Mexico",2011,"Last 5 Games Power Rating","14.8"
2641,"Alabama",2011,"Last 5 Games Power Rating","14.7"
2642,"S Carolina",2011,"Last 5 Games Power Rating","14.3"
2643,"Dayton",2011,"Last 5 Games Power Rating","13.6"
2644,"Lg Beach St",2011,"Last 5 Games Power Rating","13.0"
2645,"Akron",2011,"Last 5 Games Power Rating","12.8"
2646,"Colorado St",2011,"Last 5 Games Power Rating","12.6"
2647,"W Kentucky",2011,"Last 5 Games Power Rating","11.9"
2648,"James Mad",2011,"Last 5 Games Power Rating","11.7"
2649,"Texas Tech",2011,"Last 5 Games Power Rating","11.5"
2650,"Vermont",2011,"Last 5 Games Power Rating","11.3"
2651,"Colorado",2011,"Last 5 Games Power Rating","10.7"
2652,"Oregon",2011,"Last 5 Games Power Rating","10.7"
2653,"Creighton",2011,"Last 5 Games Power Rating","9.7"
2654,"Virginia",2011,"Last 5 Games Power Rating","9.3"
2655,"Longwood",2011,"Last 5 Games Power Rating","8.9"
2656,"Yale",2011,"Last 5 Games Power Rating","8.6"
2657,"Houston",2011,"Last 5 Games Power Rating","7.4"
2658,"Montana St",2011,"Last 5 Games Power Rating","7.3"
2659,"Wagner",2011,"Last 5 Games Power Rating","7.2"
2660,"Nevada",2011,"Last 5 Games Power Rating","6.7"
2661,"St Peters",2011,"Last 5 Games Power Rating","5.2"
2662,"Samford",2011,"Last 5 Games Power Rating","4.8"
2663,"McNeese St",2011,"Last 5 Games Power Rating","1.5"
2664,"Stetson",2011,"Last 5 Games Power Rating","-1.4"
2665,"Drake",2011,"Last 5 Games Power Rating","-2.3"
2666,"Auburn",2011,"Last 5 Games Power Rating","-3.6"
2667,"Grambling St",2011,"Last 5 Games Power Rating","-7.9"
2668,"Howard",2011,"Last 5 Games Power Rating","-9.8"
2669,"Colgate",2011,"Last 5 Games Power Rating","-10.5"
2670,"Duke",2011,"Last 10 Games Power Rating","36.3"
2671,"Kansas",2011,"Last 10 Games Power Rating","33.9"
2672,"BYU",2011,"Last 10 Games Power Rating","30.6"
2673,"Kentucky",2011,"Last 10 Games Power Rating","29.1"
2674,"San Diego St",2011,"Last 10 Games Power Rating","27.9"
2675,"Arizona",2011,"Last 10 Games Power Rating","27.7"
2676,"St Marys",2011,"Last 10 Games Power Rating","27.5"
2677,"Purdue",2011,"Last 10 Games Power Rating","26.9"
2678,"Illinois",2011,"Last 10 Games Power Rating","26.6"
2679,"Wisconsin",2011,"Last 10 Games Power Rating","26.0"
2680,"Wash State",2011,"Last 10 Games Power Rating","25.9"
2681,"Texas",2011,"Last 10 Games Power Rating","24.6"
2682,"Florida",2011,"Last 10 Games Power Rating","23.3"
2683,"N Carolina",2011,"Last 10 Games Power Rating","22.6"
2684,"Baylor",2011,"Last 10 Games Power Rating","22.6"
2685,"Iowa St",2011,"Last 10 Games Power Rating","22.4"
2686,"Connecticut",2011,"Last 10 Games Power Rating","22.0"
2687,"Marquette",2011,"Last 10 Games Power Rating","21.6"
2688,"Tennessee",2011,"Last 10 Games Power Rating","20.8"
2689,"Duquesne",2011,"Last 10 Games Power Rating","20.8"
2690,"Texas A&M",2011,"Last 10 Games Power Rating","20.6"
2691,"Gonzaga",2011,"Last 10 Games Power Rating","20.0"
2692,"Northwestern",2011,"Last 10 Games Power Rating","19.8"
2693,"New Mexico",2011,"Last 10 Games Power Rating","19.5"
2694,"Oakland",2011,"Last 10 Games Power Rating","19.5"
2695,"Colorado",2011,"Last 10 Games Power Rating","17.7"
2696,"Clemson",2011,"Last 10 Games Power Rating","17.3"
2697,"UAB",2011,"Last 10 Games Power Rating","17.0"
2698,"Boise St",2011,"Last 10 Games Power Rating","17.0"
2699,"Col Charlestn",2011,"Last 10 Games Power Rating","16.0"
2700,"Nebraska",2011,"Last 10 Games Power Rating","15.0"
2701,"Alabama",2011,"Last 10 Games Power Rating","14.9"
2702,"Morehead St",2011,"Last 10 Games Power Rating","14.8"
2703,"Colorado St",2011,"Last 10 Games Power Rating","14.6"
2704,"S Dakota St",2011,"Last 10 Games Power Rating","14.1"
2705,"NC State",2011,"Last 10 Games Power Rating","13.8"
2706,"Virginia",2011,"Last 10 Games Power Rating","13.5"
2707,"S Carolina",2011,"Last 10 Games Power Rating","13.2"
2708,"Oregon",2011,"Last 10 Games Power Rating","12.3"
2709,"James Mad",2011,"Last 10 Games Power Rating","11.7"
2710,"Akron",2011,"Last 10 Games Power Rating","10.2"
2711,"W Kentucky",2011,"Last 10 Games Power Rating","9.6"
2712,"Dayton",2011,"Last 10 Games Power Rating","9.6"
2713,"Creighton",2011,"Last 10 Games Power Rating","9.6"
2714,"Lg Beach St",2011,"Last 10 Games Power Rating","9.5"
2715,"Vermont",2011,"Last 10 Games Power Rating","8.1"
2716,"Texas Tech",2011,"Last 10 Games Power Rating","8.0"
2717,"Yale",2011,"Last 10 Games Power Rating","7.9"
2718,"Montana St",2011,"Last 10 Games Power Rating","7.8"
2719,"Wagner",2011,"Last 10 Games Power Rating","6.2"
2720,"Nevada",2011,"Last 10 Games Power Rating","6.1"
2721,"St Peters",2011,"Last 10 Games Power Rating","5.2"
2722,"Houston",2011,"Last 10 Games Power Rating","4.9"
2723,"Samford",2011,"Last 10 Games Power Rating","4.6"
2724,"McNeese St",2011,"Last 10 Games Power Rating","2.5"
2725,"Stetson",2011,"Last 10 Games Power Rating","2.1"
2726,"Drake",2011,"Last 10 Games Power Rating","0.5"
2727,"Longwood",2011,"Last 10 Games Power Rating","-0.5"
2728,"Auburn",2011,"Last 10 Games Power Rating","-1.6"
2729,"Grambling St",2011,"Last 10 Games Power Rating","-5.2"
2730,"Howard",2011,"Last 10 Games Power Rating","-6.9"
2731,"Colgate",2011,"Last 10 Games Power Rating","-11.1"
2732,"San Diego St",2011,"Luck Power Rating","4.0"
2733,"Connecticut",2011,"Luck Power Rating","3.5"
2734,"Dayton",2011,"Luck Power Rating","2.9"
2735,"Samford",2011,"Luck Power Rating","2.7"
2736,"St Peters",2011,"Luck Power Rating","2.6"
2737,"Lg Beach St",2011,"Luck Power Rating","2.4"
2738,"McNeese St",2011,"Luck Power Rating","2.3"
2739,"Vermont",2011,"Luck Power Rating","2.3"
2740,"Texas A&M",2011,"Luck Power Rating","2.2"
2741,"Florida",2011,"Luck Power Rating","2.2"
2742,"Grambling St",2011,"Luck Power Rating","2.0"
2743,"Arizona",2011,"Luck Power Rating","1.9"
2744,"Virginia",2011,"Luck Power Rating","1.8"
2745,"James Mad",2011,"Luck Power Rating","1.7"
2746,"N Carolina",2011,"Luck Power Rating","1.6"
2747,"UAB",2011,"Luck Power Rating","1.4"
2748,"BYU",2011,"Luck Power Rating","1.3"
2749,"Drake",2011,"Luck Power Rating","1.2"
2750,"Oakland",2011,"Luck Power Rating","1.2"
2751,"Kansas",2011,"Luck Power Rating","1.1"
2752,"Colorado St",2011,"Luck Power Rating","0.9"
2753,"Wagner",2011,"Luck Power Rating","0.9"
2754,"Akron",2011,"Luck Power Rating","0.8"
2755,"S Carolina",2011,"Luck Power Rating","0.7"
2756,"W Kentucky",2011,"Luck Power Rating","0.6"
2757,"Howard",2011,"Luck Power Rating","0.6"
2758,"Colorado",2011,"Luck Power Rating","0.6"
2759,"Northwestern",2011,"Luck Power Rating","0.5"
2760,"Yale",2011,"Luck Power Rating","0.5"
2761,"Wisconsin",2011,"Luck Power Rating","0.3"
2762,"Purdue",2011,"Luck Power Rating","0.3"
2763,"Colgate",2011,"Luck Power Rating","0.3"
2764,"Morehead St",2011,"Luck Power Rating","0.3"
2765,"Longwood",2011,"Luck Power Rating","0.2"
2766,"NC State",2011,"Luck Power Rating","0.2"
2767,"Creighton",2011,"Luck Power Rating","-0.2"
2768,"Col Charlestn",2011,"Luck Power Rating","-0.2"
2769,"Oregon",2011,"Luck Power Rating","-0.2"
2770,"Montana St",2011,"Luck Power Rating","-0.3"
2771,"Stetson",2011,"Luck Power Rating","-0.4"
2772,"Tennessee",2011,"Luck Power Rating","-0.5"
2773,"Texas Tech",2011,"Luck Power Rating","-0.5"
2774,"Duke",2011,"Luck Power Rating","-0.7"
2775,"Auburn",2011,"Luck Power Rating","-0.7"
2776,"Alabama",2011,"Luck Power Rating","-0.7"
2777,"Clemson",2011,"Luck Power Rating","-0.9"
2778,"Nebraska",2011,"Luck Power Rating","-0.9"
2779,"Texas",2011,"Luck Power Rating","-1.0"
2780,"Baylor",2011,"Luck Power Rating","-1.2"
2781,"Houston",2011,"Luck Power Rating","-1.2"
2782,"Wash State",2011,"Luck Power Rating","-1.2"
2783,"St Marys",2011,"Luck Power Rating","-1.3"
2784,"Marquette",2011,"Luck Power Rating","-1.4"
2785,"Boise St",2011,"Luck Power Rating","-1.6"
2786,"Gonzaga",2011,"Luck Power Rating","-1.6"
2787,"Illinois",2011,"Luck Power Rating","-1.7"
2788,"Kentucky",2011,"Luck Power Rating","-1.7"
2789,"New Mexico",2011,"Luck Power Rating","-1.8"
2790,"Nevada",2011,"Luck Power Rating","-2.1"
2791,"Iowa St",2011,"Luck Power Rating","-2.4"
2792,"S Dakota St",2011,"Luck Power Rating","-2.5"
2793,"Duquesne",2011,"Luck Power Rating","-4.7"
2794,"Creighton",2011,"Consistency Power Rating","6.1"
2795,"Texas A&M",2011,"Consistency Power Rating","7.6"
2796,"Houston",2011,"Consistency Power Rating","7.9"
2797,"Nebraska",2011,"Consistency Power Rating","7.9"
2798,"James Mad",2011,"Consistency Power Rating","8.0"
2799,"Nevada",2011,"Consistency Power Rating","8.0"
2800,"Illinois",2011,"Consistency Power Rating","8.3"
2801,"Clemson",2011,"Consistency Power Rating","8.3"
2802,"UAB",2011,"Consistency Power Rating","8.3"
2803,"Howard",2011,"Consistency Power Rating","8.4"
2804,"Alabama",2011,"Consistency Power Rating","8.5"
2805,"Montana St",2011,"Consistency Power Rating","8.7"
2806,"Oakland",2011,"Consistency Power Rating","8.8"
2807,"Colorado St",2011,"Consistency Power Rating","9.0"
2808,"San Diego St",2011,"Consistency Power Rating","9.1"
2809,"Duke",2011,"Consistency Power Rating","9.1"
2810,"Yale",2011,"Consistency Power Rating","9.2"
2811,"Marquette",2011,"Consistency Power Rating","9.3"
2812,"Texas Tech",2011,"Consistency Power Rating","9.4"
2813,"Morehead St",2011,"Consistency Power Rating","9.4"
2814,"Kentucky",2011,"Consistency Power Rating","9.4"
2815,"Connecticut",2011,"Consistency Power Rating","9.4"
2816,"NC State",2011,"Consistency Power Rating","9.4"
2817,"S Carolina",2011,"Consistency Power Rating","9.6"
2818,"Wagner",2011,"Consistency Power Rating","9.6"
2819,"Arizona",2011,"Consistency Power Rating","9.6"
2820,"Colorado",2011,"Consistency Power Rating","9.6"
2821,"Samford",2011,"Consistency Power Rating","9.7"
2822,"Duquesne",2011,"Consistency Power Rating","9.8"
2823,"Lg Beach St",2011,"Consistency Power Rating","9.8"
2824,"Tennessee",2011,"Consistency Power Rating","9.8"
2825,"Wisconsin",2011,"Consistency Power Rating","9.8"
2826,"McNeese St",2011,"Consistency Power Rating","9.9"
2827,"Purdue",2011,"Consistency Power Rating","10.0"
2828,"Texas",2011,"Consistency Power Rating","10.0"
2829,"W Kentucky",2011,"Consistency Power Rating","10.1"
2830,"Vermont",2011,"Consistency Power Rating","10.3"
2831,"Auburn",2011,"Consistency Power Rating","10.3"
2832,"New Mexico",2011,"Consistency Power Rating","10.4"
2833,"Boise St",2011,"Consistency Power Rating","10.4"
2834,"St Peters",2011,"Consistency Power Rating","10.5"
2835,"Baylor",2011,"Consistency Power Rating","10.6"
2836,"Gonzaga",2011,"Consistency Power Rating","10.6"
2837,"Akron",2011,"Consistency Power Rating","10.7"
2838,"Grambling St",2011,"Consistency Power Rating","10.8"
2839,"Dayton",2011,"Consistency Power Rating","10.8"
2840,"Stetson",2011,"Consistency Power Rating","10.9"
2841,"Iowa St",2011,"Consistency Power Rating","11.1"
2842,"Kansas",2011,"Consistency Power Rating","11.1"
2843,"Col Charlestn",2011,"Consistency Power Rating","11.1"
2844,"Colgate",2011,"Consistency Power Rating","11.3"
2845,"Northwestern",2011,"Consistency Power Rating","11.4"
2846,"Wash State",2011,"Consistency Power Rating","11.5"
2847,"Florida",2011,"Consistency Power Rating","11.5"
2848,"St Marys",2011,"Consistency Power Rating","11.5"
2849,"Oregon",2011,"Consistency Power Rating","11.6"
2850,"N Carolina",2011,"Consistency Power Rating","11.9"
2851,"BYU",2011,"Consistency Power Rating","12.0"
2852,"S Dakota St",2011,"Consistency Power Rating","12.0"
